ActivityDay,Id,Calories
2016-04-12,8053475328,3186
2016-04-13,8053475328,3140
2016-04-14,8053475328,3411
2016-04-15,8053475328,3410
2016-04-16,8053475328,2867
2016-04-17,8053475328,3213
2016-04-18,8053475328,3133
2016-04-19,8053475328,3114
2016-04-20,8053475328,3043
2016-04-21,8053475328,3103
2016-04-22,8053475328,2655
2016-04-23,8053475328,3554
2016-04-24,8053475328,3577
2016-04-25,8053475328,3403
2016-04-26,8053475328,2846
2016-04-27,8053475328,2852
2016-04-28,8053475328,3062
2016-04-29,8053475328,2794
2016-04-30,8053475328,2408
2016-05-01,8053475328,1886
2016-05-02,8053475328,1988
2016-05-03,8053475328,3023
2016-05-04,8053475328,2918
2016-05-05,8053475328,2950
2016-05-06,8053475328,2859
2016-05-07,8053475328,3331
2016-05-08,8053475328,3589
2016-05-09,8053475328,2765
2016-05-10,8053475328,2926
2016-05-11,8053475328,2809
2016-05-12,8053475328,1505
2016-04-12,1644430081,3199
2016-04-13,1644430081,2902
2016-04-14,1644430081,3226
2016-04-15,1644430081,2750
2016-04-16,1644430081,3493
2016-04-17,1644430081,3011
2016-04-18,1644430081,2806
2016-04-19,1644430081,3300
2016-04-20,1644430081,2430
2016-04-21,1644430081,2140
2016-04-22,1644430081,2344
2016-04-23,1644430081,2677
2016-04-24,1644430081,2413
2016-04-25,1644430081,2497
2016-04-26,1644430081,3123
2016-04-27,1644430081,2489
2016-04-28,1644430081,3108
2016-04-29,1644430081,2498
2016-04-30,1644430081,3846
2016-05-01,1644430081,2696
2016-05-02,1644430081,2580
2016-05-03,1644430081,3324
2016-05-04,1644430081,2222
2016-05-05,1644430081,2463
2016-05-06,1644430081,3328
2016-05-07,1644430081,3404
2016-05-08,1644430081,2987
2016-05-09,1644430081,3008
2016-05-10,1644430081,2799
2016-05-11,1644430081,1276
2016-04-12,4558609924,1909
2016-04-13,4558609924,1722
2016-04-15,4558609924,2121
2016-04-16,4558609924,1997
2016-04-17,4558609924,2117
2016-04-18,4558609924,2116
2016-04-19,4558609924,1876
2016-04-20,4558609924,1788
2016-04-21,4558609924,2486
2016-04-22,4558609924,2094
2016-04-23,4558609924,2085
2016-04-24,4558609924,2173
2016-04-26,4558609924,2223
2016-04-27,4558609924,2098
2016-04-28,4558609924,2185
2016-04-29,4558609924,1918
2016-04-30,4558609924,2105
2016-05-01,4558609924,1692
2016-05-02,4558609924,2066
2016-05-03,4558609924,1953
2016-05-04,4558609924,1842
2016-05-05,4558609924,2262
2016-05-06,4558609924,1722
2016-05-07,4558609924,1973
2016-05-08,4558609924,2666
2016-05-09,4558609924,2223
2016-05-10,4558609924,1889
2016-05-11,4558609924,2131
2016-05-12,4558609924,1452
2016-04-14,4558609924,1922
2016-04-25,4558609924,2225
2016-04-12,4319703577,2115
2016-04-13,4319703577,2135
2016-04-14,4319703577,2302
2016-04-15,4319703577,1985
2016-04-16,4319703577,1884
2016-04-17,4319703577,1464
2016-04-18,4319703577,1632
2016-04-19,4319703577,2200
2016-04-20,4319703577,2220
2016-04-21,4319703577,1792
2016-04-22,4319703577,1886
2016-04-23,4319703577,1945
2016-04-24,4319703577,1880
2016-04-25,4319703577,2314
2016-04-26,4319703577,2236
2016-04-27,4319703577,2324
2016-04-28,4319703577,2367
2016-04-29,4319703577,2175
2016-04-30,4319703577,2092
2016-05-01,4319703577,1593
2016-05-02,4319703577,2270
2016-05-03,4319703577,2235
2016-05-04,4319703577,2282
2016-05-05,4319703577,2530
2016-05-06,4319703577,2266
2016-05-07,4319703577,2158
2016-05-08,4319703577,1792
2016-05-09,4319703577,2345
2016-05-10,4319703577,2260
2016-05-11,4319703577,2232
2016-05-12,4319703577,257
2016-04-12,2320127002,2124
2016-04-13,2320127002,2003
2016-04-14,2320127002,1696
2016-04-15,2320127002,1801
2016-04-16,2320127002,1724
2016-04-17,2320127002,1852
2016-04-18,2320127002,1905
2016-04-19,2320127002,1811
2016-04-21,2320127002,1610
